"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"96000","Southwest","6","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",3692736,4053140,4370775,4616121,4853341,5152296,5512324,5881698,6257426,6623470,7099155,8360917,9746744,10833873,11949920,13665801,15973054,17728753,19105241,21250934,25041237,29055378,35760920,44676183,52497154,57355685,64916766,71685814,73372966,73561277,77670185,85325390,88440892,88824446,90330743,93116840,99791543,108708952,115607551,122963598,132121341,132917160,145633874,146576034,143043934,150232217,157814778,181769098,201365783,222639392,247692832,218064829,216747908,246849392,279030228,274870724,285166738
"96000","Southwest","6","SA40","91","...","  Personal dividend income",499767,573489,621557,651116,704802,773902,883798,997367,1048581,1096995,1283778,1363328,1422826,1517546,1680078,1938907,2224483,2288094,2788093,3280901,3854551,4486433,5034752,5854161,6541276,6787449,7080503,7794227,8173257,8255299,9667957,11426886,12344802,13419566,14319311,15596151,17981535,19746852,23279150,26080626,27718110,27223490,31196167,30843038,33643722,36665216,47823969,52677334,68003027,78772867,82913386,60227418,58311734,75442813,91814374,85768927,88809273
"96000","Southwest","6","SA40","92","...","  Personal interest income",1794523,1992735,2194705,2344398,2526150,2710039,3006938,3261974,3580497,3893377,4230731,5200182,6430714,7293492,8163758,9594465,11521543,13219054,14217140,16238596,19257870,22616676,28314273,35394795,42092398,46052805,53417433,59376970,62436106,62882031,65381372,71350325,72785299,71337014,70304244,69662898,72245699,78701835,80494424,84609924,90599913,90743587,98353208,98517521,91642617,94407326,89374482,109030217,115087337,126563141,139537347,128245667,122556994,127069633,138916609,137350980,140594317
"96000","Southwest","6","SA40","93","...","    Imputed interest receipts 1/",996115,1101326,1193966,1302951,1380496,1461966,1585109,1692338,1835811,2007099,2173432,2660122,3419104,3912633,4408895,4989249,5845517,7166013,7603665,8513883,10055680,10860963,12854574,14877329,18031728,22251321,24110831,28290863,30774881,32667484,33837467,35727919,37193017,38662835,40661835,42346005,44196302,48049940,48821266,52533483,53417071,54982108,58039698,57585727,57874235,60749809,62009675,68059502,69132688,73452291,80634364,83347161,84463415,86727972,91286244,94164792,95735611
"96000","Southwest","6","SA40","94","...","    Monetary interest receipts",798408,891409,1000739,1041447,1145654,1248073,1421829,1569636,1744686,1886278,2057299,2540060,3011610,3380859,3754863,4605216,5676026,6053041,6613475,7724713,9202190,11755713,15459699,20517466,24060670,23801484,29306602,31086107,31661225,30214547,31543905,35622406,35592282,32674179,29642409,27316893,28049397,30651895,31673158,32076441,37182842,35761479,40313510,40931794,33768382,33657517,27364807,40970715,45954649,53110850,58902983,44898506,38093579,40341661,47630365,43186188,44858706
"96000","Southwest","6","SA40","95","...","  Rental income of persons 2/",1398446,1486916,1554513,1620607,1622389,1668355,1621588,1622357,1628348,1633098,1584646,1797407,1893204,2022835,2106084,2132429,2227028,2221605,2100008,1731437,1928816,1952269,2411895,3427227,3863480,4515431,4418830,4514617,2763603,2423947,2620856,2548179,3310791,4067866,5707188,7857791,9564309,10260265,11833977,12273048,13803318,14950083,16084499,17215475,17757595,19159675,20616327,20061547,18275419,17303384,25242099,29591744,35879180,44336946,48299245,51750817,55763148
"96000","Southwest","6","SA40","96","...","    Imputed rent",612841,676536,736355,783092,837499,869722,881457,905929,943841,979867,959340,1132191,1178662,1261905,1255793,1198967,1230911,1148402,993207,601107,632899,532358,522259,542809,256750,213362,53486,-134801,-462800,-438199,41598,142057,453895,976305,1984851,3627967,4900494,5409091,6576677,6832967,8143327,9293643,10013104,10325050,11388389,12348401,13169177,11782610,9638456,7271248,11280533,16756121,20992728,25950226,28376898,31899101,34951229
"96000","Southwest","6","SA40","97","...","    Monetary rent",785605,810380,818158,837515,784890,798633,740131,716428,684507,653231,625306,665216,714542,760930,850291,933462,996117,1073203,1106801,1130330,1295917,1419911,1889636,2884418,3606730,4302069,4365344,4649418,3226403,2862146,2579258,2406122,2856896,3091561,3722337,4229824,4663815,4851174,5257300,5440081,5659991,5656440,6071395,6890425,6369206,6811274,7447150,8278937,8636963,10032136,13961566,12835623,14886452,18386720,19922347,19851716,20811919
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
